goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   5337725 ns/op	   60328 B/op	     153 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   5102792 ns/op	   60328 B/op	     153 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1232292 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1236050 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1222942 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1187662 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1201404 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1264638 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   5039383 ns/op	14240787 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   5038917 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   4876692 ns/op	14240798 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   4864567 ns/op	14240798 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   4877200 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   5257408 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  61357383 ns/op	123366408 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  68186908 ns/op	123366419 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  58506696 ns/op	123366408 B/op	      92 allocs/op
