# BFS bench — 2026-07-02T08:35:37Z
# benchtime=10x count=3
# go version: go version go1.26.3 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   4866192 ns/op	   60328 B/op	     153 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   4702246 ns/op	   60328 B/op	     153 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   5299821 ns/op	   60328 B/op	     153 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1263662 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1424454 ns/op	 4484115 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1358396 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1546938 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1742704 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/powerlaw-10             	      10	   1714100 ns/op	 4484115 B/op	      74 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   5812212 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   5653792 ns/op	14240809 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/uniform-10             	      10	   5517992 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   5137992 ns/op	14240776 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   4916721 ns/op	14240787 B/op	      82 allocs/op
BenchmarkSubgraph/N=10000/E=5/powerlaw-10            	      10	   5478283 ns/op	14240798 B/op	      82 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  54902154 ns/op	123366408 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  57557275 ns/op	123366408 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/uniform-10            	      10	  59671608 ns/op	123366408 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  63225638 ns/op	123366419 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  56173046 ns/op	123366419 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  55211550 ns/op	123366408 B/op	      92 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    146412 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    146067 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    147825 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     38558 ns/op	    3308 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     50217 ns/op	    3297 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     16762 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     77383 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     76129 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     75933 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     16892 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     16883 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     16817 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	   1312754 ns/op	   21368 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	   1072258 ns/op	   21368 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	   1070846 ns/op	   21368 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    166283 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    158762 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    216604 ns/op	    3297 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	   1065317 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	    905371 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	    788879 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    136479 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    140996 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    189012 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  24246608 ns/op	   21336 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  25422458 ns/op	   21337 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  24507558 ns/op	   21336 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1397250 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1512604 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1330183 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  26767225 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  24913400 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  25250379 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1212600 ns/op	    4456 B/op	      24 allocs/op
